name,age,vintage,vol,ml,price
"Kilkerran, Original BottlingWork in Progress (3rd Edition) b.2011",7,2005,46.00%,700,58 €June 2019
"Kilkerran, Original BottlingWork in Progress (4th Edition) b.2012One of 9000 Bottles",8,2004,46.00%,700,93 €June 2019
"Kilkerran, Original BottlingWork in Progress (5th Edition Bourbon Cask) b.2013One of 9000 Bottles",9,2004,46.00%,700,73 €June 2019
"Kilkerran, Original BottlingWork in Progress (5th Edition Bourbon Wood)",,,46.00%,700,123 €June 2019
"Kilkerran, Original BottlingWork in Progress (5th Edition Sherry Wood) b.2013One of 9000 Bottles",9,2004,46.00%,700,78 €June 2019
"Kilkerran, Original BottlingWork in Progress (6th Edition Bourbon Wood) b.2014",10,2004,46.00%,700,93 €June 2019
"Kilkerran, Original BottlingWork in Progress (6th Edition Bourbon Wood) b.2014",10,,46.00%,750,80 €August 2016
"Kilkerran, Original BottlingWork in Progress (6th Edition Sherry Cask) b.2014",10,2004,46.00%,700,74 €June 2019
"Kilkerran, Original BottlingWork in Progress (7th Edition Bourbon Wood)",,,54.10%,750,106 €September 2017
"Kilkerran, Original BottlingWork in Progress (7th Edition Bourbon Wood)",,,54.10%,700,90 €June 2019
"Kilkerran, Original BottlingWork in Progress (7th Edition Sherry Wood) b.2015",11,2004,46.00%,700,54 €June 2019
"Kilkerran, Original BottlingChaeau Lafitre (Beija Flor) b.2015One of 282 Bottles (Cask 2)",10,2005,55.10%,700,129 €February 2019
"Kilkerran, Original Bottling10th Anniversary (Campbeltown Dinner) b.2014(Cask 2006/1)",12,,64.40%,700,430 €May 2019
"Kilkerran, Original BottlingCampbeltown Malt (Festival 2018)",8,,58.40%,700,89 €June 2019
"Kilkerran, Original Bottling (Green Label)",,,46.00%,700,71 €June 2019
"Kilkerran, Original BottlingPort Cask (Open Day 2009) b.2009",,,59.70%,700,112 €May 2019
"Kilkerran, Original BottlingOak Cask (Open Day 2009) b.2009",,,59.70%,700,77 €December 2014
"Kilkerran, Original BottlingDistillery Bottling (Open Day 2009) b.2009",12,,48.50%,700,112 €April 2019
"Kilkerran, Original BottlingBourbon Cask (Open Day 2010) b.2009",,,48.50%,700,97 €May 2019
"Kilkerran, Original BottlingSherry Wood (Open Day 2016)",8,,56.40%,700,110 €September 2018
"Springbank, Acorn b.2007(Cask 617)",39,1968,47.60%,700,1498 €November 2018
"Springbank, Adelphi b.2011One of 217 Bottles (Cask 465)",16,1995,51.70%,700,198 €June 2019
"Springbank, Adelphi b.1996",32,1964,50.80%,700,1505 €March 2016
